"Taxa","ClimateZone","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"Taxa37","Dfc","k__Bacteria","p__Acidobacteria","c__Acidobacteria-6","o__CCU21","f__","g__","s__"
"Taxa372","Af","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa373","Csa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Ellin329","f__","g__","s__"
"Taxa374","Cfa","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nakamurellaceae","g__","s__"
"Taxa374","Dfc","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nakamurellaceae","g__","s__"
"Taxa375","Cwb","k__Bacteria","p__Chloroflexi","c__Chloroflexi","o__[Roseiflexales]","f__[Kouleothrixaceae]","g__","s__"
"Taxa375","Dfb","k__Bacteria","p__Chloroflexi","c__Chloroflexi","o__[Roseiflexales]","f__[Kouleothrixaceae]","g__","s__"
"Taxa375","Dwb","k__Bacteria","p__Chloroflexi","c__Chloroflexi","o__[Roseiflexales]","f__[Kouleothrixaceae]","g__","s__"
"Taxa377","Dfb","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"Taxa377","EF","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","g__","s__"
"Taxa378","Af","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa382","Dwb","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Ellin5290","f__","g__","s__"
"Taxa382","Dwc","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Ellin5290","f__","g__","s__"
"Taxa383","BSh","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa385","Am","k__Bacteria","p__Planctomycetes","c__OM190","o__agg27","f__","g__","s__"
"Taxa385","Dfa","k__Bacteria","p__Planctomycetes","c__OM190","o__agg27","f__","g__","s__"
"Taxa385","Dwb","k__Bacteria","p__Planctomycetes","c__OM190","o__agg27","f__","g__","s__"
"Taxa388","BWh","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa388","Dwc","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa39","Csb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Rhizobium","s__"
"Taxa391","Csb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","","",""
"Taxa393","Cwb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Myxococcaceae","g__","s__"
"Taxa394","Dfc","k__Bacteria","p__Bacteroidetes","c__Cytophagia","o__Cytophagales","f__Cytophagaceae","g__","s__"
"Taxa395","Dfb","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__Candidatus Solibacter","s__"
"Taxa397","Dwc","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa399","Af","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__","s__"
"Taxa4","Am","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Phenylobacterium","s__"
"Taxa4","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Phenylobacterium","s__"
"Taxa400","Aw","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__"
"Taxa400","BSh","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__"
"Taxa400","Dfb","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__Sphingobacteriaceae","g__Pedobacter","s__"
"Taxa401","BSh","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa403","Cwb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Bradyrhizobiaceae","g__Bradyrhizobium","s__"
"Taxa405","Aw","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__Skermanella","s__"
"Taxa406","Cfb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__","f__","g__","s__"
"Taxa407","ET","k__Bacteria","p__Acidobacteria","c__Sva0725","o__Sva0725","f__","g__","s__"
"Taxa408","Cfa","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__A17","s__"
"Taxa409","Dfb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__","g__","s__"
"Taxa410","Csa","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Nocardioidaceae","g__","s__"
"Taxa416","Am","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa417","EF","k__Bacteria","p__Cyanobacteria","c__Chloroplast","o__Streptophyta","f__","g__","s__"
"Taxa418","BWk","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira","s__"
"Taxa418","EF","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira","s__"
"Taxa419","Aw","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"Taxa42","Cfa","k__Bacteria","p__Verrucomicrobia","","","","",""
"Taxa42","Dwb","k__Bacteria","p__Verrucomicrobia","","","","",""
"Taxa421","BWk","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa421","Dwb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa422","Af","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Planctomycetales","f__Planctomycetaceae","g__Planctomyces","s__"
"Taxa423","EF","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa424","Cfb","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__HTCC2188","f__HTCC2089","g__","s__"
"Taxa424","Dfb","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__HTCC2188","f__HTCC2089","g__","s__"
"Taxa425","BSk","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Syntrophobacterales","f__Syntrophobacteraceae","g__","s__"
"Taxa426","Dwb","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","",""
"Taxa430","Aw","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__","s__"
"Taxa430","Csb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__","s__"
"Taxa431","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Rhodospirillaceae","g__","s__"
"Taxa433","Dwb","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Polyangiaceae","",""
"Taxa434","Dwb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa435","Cfa","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__KD8-87","f__","g__","s__"
"Taxa435","Dwb","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__KD8-87","f__","g__","s__"
"Taxa436","BSk","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__Opitutus","s__"
"Taxa436","BWh","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__Opitutus","s__"
"Taxa436","Dwb","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__Opitutus","s__"
"Taxa437","Csb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Pirellulales","f__Pirellulaceae","g__","s__"
"Taxa439","Af","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__N1423WL","f__","g__","s__"
"Taxa440","Af","k__Bacteria","p__WS3","c__PRR-12","o__Sediment-1","f__PRR-10","g__","s__"
"Taxa440","BSh","k__Bacteria","p__WS3","c__PRR-12","o__Sediment-1","f__PRR-10","g__","s__"
"Taxa440","Dfa","k__Bacteria","p__WS3","c__PRR-12","o__Sediment-1","f__PRR-10","g__","s__"
"Taxa440","Dfb","k__Bacteria","p__WS3","c__PRR-12","o__Sediment-1","f__PRR-10","g__","s__"
"Taxa443","Aw","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__","s__"
"Taxa444","Dfb","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__","g__","s__"
"Taxa445","ET","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__"
"Taxa446","Dfc","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__"
"Taxa447","ET","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__SC-I-84","f__","g__","s__"
"Taxa448","Am","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa448","EF","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa449","Aw","k__Bacteria","p__Chloroflexi","c__TK10","o__","f__","g__","s__"
"Taxa450","Dfb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__"
"Taxa450","EF","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__"
"Taxa451","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Pedomicrobium","s__"
"Taxa452","BWk","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__Steroidobacter","s__"
"Taxa452","Cwb","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__Steroidobacter","s__"
"Taxa454","Am","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa454","Aw","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa454","Dfb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Hyphomonadaceae","g__","s__"
"Taxa456","Dfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","",""
"Taxa457","ET","k__Bacteria","p__Chloroflexi","","","","",""
"Taxa459","Csb","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__FAC88","f__","g__","s__"
"Taxa460","ET","k__Bacteria","p__Chlorobi","c__","o__","f__","g__","s__"
"Taxa464","BSh","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa464","Cwb","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa464","Dwb","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa468","Csb","k__Bacteria","p__Planctomycetes","c__OM190","o__CL500-15","f__","g__","s__"
"Taxa468","Dfc","k__Bacteria","p__Planctomycetes","c__OM190","o__CL500-15","f__","g__","s__"
"Taxa47","Cfa","k__Bacteria","p__Verrucomicrobia","","","","",""
"Taxa47","EF","k__Bacteria","p__Verrucomicrobia","","","","",""
"Taxa470","BSh","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","",""
"Taxa472","Dfc","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa472","Dwc","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa473","Af","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__Candidatus Solibacter","s__"
"Taxa475","Cfb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa475","Dfb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa476","Af","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__CPla-3","f__","g__","s__"
"Taxa477","Csb","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa48","Aw","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__"
"Taxa480","Dfa","k__Bacteria","p__Acidobacteria","c__RB25","o__","f__","g__","s__"
"Taxa481","Af","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__","g__","s__"
"Taxa481","Dfa","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__","g__","s__"
"Taxa481","Dwc","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__","g__","s__"
"Taxa482","BSh","k__Bacteria","p__Chloroflexi","c__S085","o__","f__","g__","s__"
"Taxa482","Dwc","k__Bacteria","p__Chloroflexi","c__S085","o__","f__","g__","s__"
"Taxa484","Af","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"Taxa484","BSh","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"Taxa484","Csa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"Taxa484","Dwc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","g__Rhodoplanes","s__"
"Taxa486","Am","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Isosphaeraceae","g__","s__"
"Taxa486","BSk","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Isosphaeraceae","g__","s__"
"Taxa486","Cfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Isosphaeraceae","g__","s__"
"Taxa486","Dfa","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Isosphaeraceae","g__","s__"
"Taxa486","ET","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Isosphaeraceae","g__","s__"
"Taxa488","Csb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Hyphomicrobiaceae","",""
"Taxa489","BSh","k__Bacteria","p__Acidobacteria","c__iii1-8","o__DS-18","f__","g__","s__"
"Taxa49","EF","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa490","Dwc","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa494","Dfa","k__Bacteria","p__Gemmatimonadetes","c__Gemmatimonadetes","o__Gemmatimonadales","f__Ellin5301","g__","s__"
"Taxa495","BSk","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Micromonosporaceae","g__Dactylosporangium","s__"
"Taxa498","Cfa","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__"
"Taxa498","Dwb","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__"
"Taxa500","BWh","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"Taxa501","Cwb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Methylibium","s__"
"Taxa501","Dfa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Methylibium","s__"
"Taxa502","Dfc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","",""
"Taxa502","Dwc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Sphingomonadaceae","",""
"Taxa504","Csb","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__Opitutus","s__"
"Taxa504","Dwb","k__Bacteria","p__Verrucomicrobia","c__Opitutae","o__Opitutales","f__Opitutaceae","g__Opitutus","s__"
"Taxa505","Dfa","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","","",""
"Taxa508","Dwb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Caulobacter","s__henricii"
"Taxa51","Af","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__SBR1031","f__A4b","g__","s__"
"Taxa51","BSk","k__Bacteria","p__Chloroflexi","c__Anaerolineae","o__SBR1031","f__A4b","g__","s__"
"Taxa512","Cfa","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa512","Cfb","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa513","Cfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa517","Cfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa517","Dwb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa522","Csb","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__"
"Taxa522","Dfb","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__","s__"
"Taxa525","Dwb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Janthinobacterium","s__"
"Taxa528","Cfb","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__DS-100","f__","g__","s__"
"Taxa528","Dfc","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__DS-100","f__","g__","s__"
"Taxa529","Dfb","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa529","Dwb","k__Bacteria","p__Verrucomicrobia","c__[Spartobacteria]","o__[Chthoniobacterales]","f__[Chthoniobacteraceae]","g__DA101","s__"
"Taxa530","EF","k__Bacteria","p__Acidobacteria","c__Solibacteres","o__Solibacterales","f__Solibacteraceae","g__Candidatus Solibacter","s__"
"Taxa535","Aw","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__"
"Taxa535","Cwb","k__Bacteria","p__Gemmatimonadetes","c__Gemm-1","o__","f__","g__","s__"
"Taxa536","Dfc","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa541","Aw","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","","",""
"Taxa541","Cfb","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","","",""
"Taxa542","Af","k__Bacteria","p__Chloroflexi","c__Ellin6529","o__","f__","g__","s__"
"Taxa543","BWk","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__"
"Taxa543","Cfb","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Solirubrobacterales","f__Solirubrobacteraceae","g__","s__"
"Taxa545","Csa","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Hylemonella","s__"
"Taxa546","BSh","k__Bacteria","p__Proteobacteria","c__Deltaproteobacteria","o__Myxococcales","f__Haliangiaceae","",""
"Taxa549","Csb","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa549","Dwc","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa55","Af","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__"
"Taxa55","Cwb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__MND1","f__","g__","s__"
"Taxa550","Cfa","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__HTCC2188","f__HTCC2089","g__","s__"
"Taxa550","Dfc","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__HTCC2188","f__HTCC2089","g__","s__"
"Taxa550","ET","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__HTCC2188","f__HTCC2089","g__","s__"
"Taxa553","Cfa","k__Bacteria","p__Acidobacteria","c__DA052","o__Ellin6513","f__","g__","s__"
"Taxa555","Cfa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa555","Csb","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa555","Dfc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa555","ET","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa556","Cfb","k__Bacteria","p__Actinobacteria","c__Thermoleophilia","o__Gaiellales","f__Gaiellaceae","g__","s__"
"Taxa557","ET","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","","",""
"Taxa558","Af","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa558","Aw","k__Bacteria","p__Bacteroidetes","","","","",""
"Taxa559","Dfb","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Mycobacteriaceae","g__Mycobacterium","s__"
"Taxa56","Dfb","k__Bacteria","p__Verrucomicrobia","c__Verrucomicrobiae","o__Verrucomicrobiales","f__Verrucomicrobiaceae","g__Luteolibacter","s__"
"Taxa561","BSh","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa565","Dfa","k__Bacteria","p__Acidobacteria","c__Acidobacteriia","o__Acidobacteriales","f__Koribacteraceae","g__","s__"
"Taxa567","Cfa","k__Bacteria","p__Bacteroidetes","c__Sphingobacteriia","o__Sphingobacteriales","f__","g__","s__"
"Taxa568","BSk","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__Gemmata","s__"
"Taxa569","Cwb","k__Bacteria","p__Elusimicrobia","c__Elusimicrobia","o__FAC88","f__","g__","s__"
"Taxa57","BSh","k__Bacteria","p__WS3","c__PRR-12","o__Sediment-1","f__PRR-10","g__","s__"
"Taxa570","Af","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__"
"Taxa570","BWh","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__"
"Taxa570","Cwb","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__"
"Taxa570","Dfc","k__Bacteria","p__Proteobacteria","c__Betaproteobacteria","o__","f__","g__","s__"
"Taxa571","Dfa","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira","s__"
"Taxa571","Dfb","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira","s__"
"Taxa571","ET","k__Bacteria","p__Nitrospirae","c__Nitrospira","o__Nitrospirales","f__Nitrospiraceae","g__Nitrospira","s__"
"Taxa572","ET","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","o__WD2101","f__","g__","s__"
"Taxa573","Csa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Caulobacterales","f__Caulobacteraceae","g__Phenylobacterium","s__"
"Taxa576","Aw","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__Ellin515","g__","s__"
"Taxa577","Dwc","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","","",""
"Taxa578","Dfc","k__Bacteria","p__Planctomycetes","c__Phycisphaerae","","","",""
"Taxa579","Af","k__Bacteria","p__Chloroflexi","c__Ellin6529","o__","f__","g__","s__"
"Taxa580","Cfa","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Sphingomonadales","f__Erythrobacteraceae","g__","s__"
"Taxa581","Cfa","k__Bacteria","p__Acidobacteria","c__[Chloracidobacteria]","o__RB41","f__Ellin6075","g__","s__"
"Taxa583","Csa","k__Bacteria","p__Proteobacteria","","","","",""
"Taxa584","Csb","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__"
"Taxa584","Dfa","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Sinobacteraceae","g__","s__"
"Taxa588","Dfb","k__Bacteria","p__Acidobacteria","c__Acidobacteria-5","o__","f__","g__","s__"
"Taxa592","Dfb","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Sporichthyaceae","g__","s__"
"Taxa592","Dwb","k__Bacteria","p__Actinobacteria","c__Actinobacteria","o__Actinomycetales","f__Sporichthyaceae","g__","s__"
"Taxa596","ET","k__Bacteria","p__Verrucomicrobia","c__[Pedosphaerae]","o__[Pedosphaerales]","f__","g__","s__"
"Taxa597","Dfc","k__Bacteria","p__Chloroflexi","c__Ellin6529","o__","f__","g__","s__"
"Taxa600","Cfb","k__Bacteria","p__Chloroflexi","c__Ellin6529","o__","f__","g__","s__"
"Taxa601","Aw","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa601","Dfb","k__Bacteria","p__Bacteroidetes","c__[Saprospirae]","o__[Saprospirales]","f__Chitinophagaceae","",""
"Taxa602","Am","k__Bacteria","p__FCPU426","c__","o__","f__","g__","s__"
"Taxa602","Cfa","k__Bacteria","p__FCPU426","c__","o__","f__","g__","s__"
"Taxa603","Dfb","k__Bacteria","p__Planctomycetes","c__Planctomycetia","o__Gemmatales","f__Gemmataceae","g__","s__"
"Taxa606","ET","k__Bacteria","p__Planctomycetes","c__C6","o__MVS-107","f__","g__","s__"
